City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qaqortoq,60.7167,-46.0333,260.26,79,100,3.82,GL,1702647646
83,talnakh,69.4865,88.3972,248.82,99,100,2.6,RU,1702647648
84,ribeira brava,32.65,-17.0667,294.82,59,100,4.2,PT,1702647648
85,luanda,-8.8368,13.2343,304.15,70,20,6.17,AO,1702647649
86,nuuk,64.1835,-51.7216,264.49,48,0,2.57,GL,1702647650
87,durban,-29.8579,31.0292,295.66,78,100,6.19,ZA,1702647568
88,latakia,35.5148,35.7768,294.25,69,98,1.53,SY,1702647652
89,invercargill,-46.4,168.35,284.6,83,94,1.3,NZ,1702647652
90,hadibu,12.65,54.0333,298.67,66,6,8.45,YE,1702647653
91,lihue,21.9789,-159.3672,294.92,62,100,10.8,US,1702647654
92,elliot lake,46.3834,-82.6331,274.78,77,90,4.04,CA,1702647654
93,ponta delgada,37.7333,-25.6667,291.59,94,75,7.72,PT,1702647655
94,tiksi,71.6872,128.8694,254.87,100,100,4.61,RU,1702647656
95,paredon,16.0333,-93.8667,299.95,65,80,5.81,MX,1702647656
96,enewetak,11.3474,162.3373,300.32,80,88,9.12,MH,1702647657
97,velikiy ustyug,60.7644,46.3106,262.26,94,100,3.58,RU,1702647658
98,merizo village,13.2658,144.6691,301.0,91,34,8.39,GU,1702647658
99,palikir - national government center,6.9248,158.1611,300.56,78,100,3.09,FM,1702647659
100,ashland,40.8167,-82.2665,276.05,89,0,2.46,US,1702647660
101,yeppoon,-23.1333,150.7333,298.03,85,92,2.57,AU,1702647660
102,kupino,54.3663,77.2981,250.31,82,72,3.48,RU,1702647661
103,lucea,18.451,-78.1736,298.63,72,6,10.42,JM,1702647662
104,ola,59.5833,151.2833,261.01,68,100,5.89,RU,1702647663
105,iskateley,67.6803,53.1512,252.6,98,73,4.02,RU,1702647664
106,greymouth,-42.4667,171.2,287.89,98,100,1.75,NZ,1702647665
107,sitka,57.0531,-135.33,275.09,87,100,3.09,US,1702647385
108,guarapuava,-25.3953,-51.4581,303.55,34,11,2.05,BR,1702647667
109,st. john's,47.5649,-52.7093,271.47,71,20,5.14,CA,1702647597
110,walvis bay,-22.9575,14.5053,292.64,60,91,7.43,NA,1702647668
111,westport,41.1415,-73.3579,278.81,66,0,4.02,US,1702647669
112,bairnsdale,-37.8333,147.6167,288.74,89,61,0.45,AU,1702647670
113,puerto natales,-51.7236,-72.4875,283.4,62,75,6.69,CL,1702647401
114,waitangi,-43.9535,-176.5597,286.94,89,100,2.68,NZ,1702647672
115,isafjordur,66.0755,-23.124,273.17,100,100,1.54,IS,1702647673
116,point pedro,9.8167,80.2333,299.74,84,85,5.56,LK,1702647674
117,fort mcmurray,56.7268,-111.381,264.88,79,0,0.51,CA,1702647615
118,sun city west,33.662,-112.3413,286.08,48,0,3.09,US,1702647675
119,fale old settlement,-9.3852,-171.2468,301.19,77,100,2.68,TK,1702647677
120,yarmouth,41.7057,-70.2286,280.38,71,0,5.14,US,1702647678
121,afaahiti,-17.75,-149.2833,300.08,85,97,8.83,PF,1702647679
122,cabo san lucas,22.8909,-109.9124,294.13,81,0,4.63,MX,1702647680
123,pisco,-13.7,-76.2167,294.18,83,100,3.6,PE,1702647681
124,vorgashor,67.5833,63.95,247.09,100,93,1.85,RU,1702647682
125,isangel,-19.55,169.2667,296.56,82,11,4.21,VU,1702647683
126,muroto-misakicho,33.2833,134.15,294.13,87,11,10.45,JP,1702647684
127,konarka,19.9,86.1167,292.37,53,3,4.18,IN,1702647685
128,at taj,24.2049,23.2857,297.27,17,0,2.62,LY,1702647686
129,kuytun,54.3419,101.5036,249.26,96,100,1.67,RU,1702647688
130,luderitz,-26.6481,15.1594,295.06,58,0,14.44,NA,1702647689
131,baldoyle,53.3958,-6.1285,285.74,84,75,4.63,IE,1702647690
132,ulladulla,-35.35,150.4667,291.35,82,0,2.22,AU,1702647692
133,kodiak,57.79,-152.4072,268.88,86,100,0.0,US,1702647692
134,nacozari de garcia,30.3742,-109.6908,278.21,34,0,3.61,MX,1702647694
135,sao vicente,-23.9631,-46.3919,308.25,54,100,2.57,BR,1702647695
136,montepuez,-13.1256,38.9997,307.94,29,67,3.85,MZ,1702647696
137,tazovsky,67.4667,78.7,242.49,100,74,1.32,RU,1702647697
138,wailua homesteads,22.0669,-159.378,294.59,70,100,10.8,US,1702647698
139,sinabang,2.4803,96.3801,299.57,83,72,1.76,ID,1702647699
140,igrim,63.1906,64.4162,251.24,100,95,0.97,RU,1702647700
141,ban bueng,13.311,101.1121,304.41,58,11,0.82,TH,1702647701
142,hawaiian paradise park,19.5933,-154.9731,291.5,85,61,0.45,US,1702647702
143,totness,5.8833,-56.3167,302.6,68,78,4.59,SR,1702647703
144,canico,32.6333,-16.85,294.82,69,40,7.2,PT,1702647703
145,kingston,17.997,-76.7936,300.51,77,40,1.03,JM,1702647704
146,olonkinbyen,70.9221,-8.7187,274.1,81,100,8.81,SJ,1702647705
147,tenosique,17.4833,-91.4333,295.75,94,92,1.97,MX,1702647706
148,minas de marcona,-15.2119,-75.1103,292.86,68,79,2.34,PE,1702647707
149,tolanaro,-25.0319,46.9987,304.19,66,20,10.8,MG,1702647708
150,susuman,62.7833,148.1667,250.92,97,100,3.13,RU,1702647708
151,valozhyn,54.0909,26.5225,267.5,93,44,3.49,BY,1702647709
152,seven pagodas,12.6264,80.1722,298.18,90,77,5.66,IN,1702647710
153,yemetsk,63.4721,41.7941,263.79,95,100,2.39,RU,1702647711
154,atafu village,-8.5421,-172.5159,300.16,83,100,1.81,TK,1702647712
155,ushuaia,-54.8,-68.3,285.94,66,20,2.57,AR,1702647712
